uf_id,nome,regiao_id,sigla
1,Acre,1,AC
2,Alagoas,2,AL
3,Amapá,1,AP
4,Amazonas,1,AM
5,Bahia,2,BA
6,Ceará,2,CE
7,"Distrito Federal",5,DF
8,"Espírito Santo",3,ES
9,Goiás,5,GO
10,Maranhão,2,MA
11,"Mato Grosso",5,MT
12,"Mato Grosso do Sul",5,MS
13,"Minas Gerais",3,MG
14,Pará,2,PA
15,Paraíba,2,PB
16,Paraná,4,PR
17,Pernambuco,2,PE
18,Piauí,2,PI
19,"Rio de Janeiro",3,RJ
20,"Rio Grande do Norte",2,RN
21,"Rio Grande do Sul",4,RS
22,Rondônia,1,RO
23,Roraima,1,RR
24,"Santa Catarina",4,SC
25,"São Paulo",3,SP
26,Sergipe,2,SE
27,Tocantins,1,TO
